                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  5.335,                 6.1871,                 4.2646,                      0,                      0,                      0,                      0,                 5.2158,                 6.0211,                 4.1616,              7.056e-05,              7.056e-05,              7.056e-05
                      1,                 5.5197,                 5.9492,                 4.2357,                      0,                      0,                      0,                      0,                 5.2118,                 6.0305,                 4.1638,             0.00014554,             0.00014554,             0.00014554
                      2,                 5.4892,                  5.873,                 4.1997,                  6e-05,                0.00102,                  3e-05,                      0,                  5.206,                 6.0459,                  4.167,             0.00021902,             0.00021902,             0.00021902
                      3,                 5.3938,                 5.5924,                 4.1186,                  6e-05,                0.00102,                  3e-05,                      0,                 5.1899,                 6.0602,                 4.1746,             0.00029097,             0.00029097,             0.00029097
                      4,                 5.3672,                 5.4784,                  3.994,                  6e-05,                0.00102,                  3e-05,                      0,                 5.1713,                 6.0675,                 4.1848,             0.00036142,             0.00036142,             0.00036142
                      5,                 5.3478,                 5.0633,                 3.8645,                  6e-05,                0.00102,                  3e-05,                      0,                 5.1487,                 6.0589,                 4.1977,             0.00043035,             0.00043035,             0.00043035
                      6,                 5.1335,                 4.7253,                 3.7164,                  6e-05,                0.00102,                  3e-05,                      0,                 5.1837,                 5.9978,                 4.1846,             0.00049777,             0.00049777,             0.00049777
                      7,                  5.104,                 4.4226,                 3.5806,                  6e-05,                0.00102,                  3e-05,                      0,                 5.3478,                 5.7639,                  4.103,             0.00054725,             0.00054725,             0.00054725
                      8,                 4.8795,                 4.1601,                 3.4181,                0.00039,                  2e-05,                0.00025,                  2e-05,                 4.8875,                 6.2578,                 4.2838,             0.00054725,             0.00054725,             0.00054725
                      9,                  4.633,                 3.7258,                 3.1742,                0.40194,                0.00084,                0.00059,                0.00016,                 4.7482,                 6.6791,                  3.941,             0.00054143,             0.00054143,             0.00054143
                     10,                 4.3543,                 3.4343,                 2.9374,                0.20206,                 0.0026,                0.00088,                0.00025,                 4.5293,                 7.0855,                 3.5575,             0.00053561,             0.00053561,             0.00053561
                     11,                 4.2259,                 3.1517,                 2.7312,                0.40937,                0.01044,                0.00517,                0.00105,                 4.0409,                 5.0811,                 2.6981,             0.00052979,             0.00052979,             0.00052979
                     12,                 4.0573,                 2.9867,                 2.5918,                0.33889,                0.03661,                0.01952,                0.00816,                 3.6833,                 4.1727,                 2.4912,             0.00052397,             0.00052397,             0.00052397
                     13,                 3.8229,                 2.8891,                 2.5493,                0.33338,                0.06401,                0.02635,                0.01032,                 3.6736,                 4.6634,                 2.4097,             0.00051815,             0.00051815,             0.00051815
                     14,                 3.7553,                 2.8061,                 2.4939,                0.34026,                0.05929,                 0.0254,                0.00895,                 3.7032,                 6.4667,                 2.3774,             0.00051232,             0.00051232,             0.00051232
                     15,                 3.6882,                 2.7332,                 2.4464,                0.13307,                0.07606,                0.02954,                0.00974,                 3.4446,                 5.5805,                 2.2666,              0.0005065,              0.0005065,              0.0005065
                     16,                 3.5786,                 2.5976,                 2.3249,                0.26998,                0.03978,                0.03065,                0.01158,                  3.366,                 2.9683,                 2.2787,             0.00050068,             0.00050068,             0.00050068
                     17,                 3.5372,                 2.5656,                 2.3119,                0.25125,                0.05554,                0.04224,                0.01399,                  3.262,                 2.4969,                 2.1896,             0.00049486,             0.00049486,             0.00049486
                     18,                 3.4713,                 2.5152,                 2.2676,                0.35212,                0.05629,                0.03729,                 0.0135,                 3.2543,                  2.686,                 2.2275,             0.00048904,             0.00048904,             0.00048904
                     19,                 3.3409,                   2.47,                 2.2215,                0.41086,                0.04578,                0.04466,                0.01543,                 3.0982,                 2.1671,                 2.1063,             0.00048322,             0.00048322,             0.00048322
                     20,                  3.271,                 2.4066,                 2.1912,                0.54744,                0.02412,                 0.0385,                0.01525,                 3.1113,                 2.4936,                 2.1029,              0.0004774,              0.0004774,              0.0004774
                     21,                 3.2215,                 2.3058,                 2.1329,                0.50068,                0.04265,                0.05236,                0.01709,                 3.0724,                 2.1247,                  2.061,             0.00047158,             0.00047158,             0.00047158
                     22,                 3.1724,                 2.2512,                 2.0839,                 0.4808,                0.07694,                 0.0579,                0.01849,                 3.0191,                 2.0631,                 2.0394,             0.00046575,             0.00046575,             0.00046575
                     23,                 3.2014,                 2.2465,                 2.0834,                0.46283,                0.04304,                0.03408,                 0.0148,                 3.1172,                 2.4423,                 2.0644,             0.00045993,             0.00045993,             0.00045993
                     24,                 3.0677,                 2.1646,                 2.0458,                0.48232,                0.07576,                0.06285,                0.02656,                 2.8514,                 2.0243,                 1.9449,             0.00045411,             0.00045411,             0.00045411
                     25,                 3.0606,                 2.1249,                 2.0288,                0.40989,                0.05174,                0.04919,                0.01698,                 3.0914,                 2.1481,                 2.0202,             0.00044829,             0.00044829,             0.00044829
                     26,                 2.9657,                 2.0955,                 1.9816,                0.37181,                0.08331,                0.06141,                0.02558,                 2.9898,                 2.0068,                 1.9465,             0.00044247,             0.00044247,             0.00044247
                     27,                 2.9859,                 2.0609,                   1.98,                 0.5574,                0.09086,                0.07271,                 0.0316,                 2.7524,                 2.0139,                 1.9305,             0.00043665,             0.00043665,             0.00043665
                     28,                 2.9415,                 2.0679,                 1.9599,                0.27396,                0.10583,                0.06456,                0.02818,                 3.0034,                 1.9939,                 1.8728,             0.00043083,             0.00043083,             0.00043083
                     29,                  2.936,                 2.0173,                 1.9265,                0.48597,                0.08638,                0.06712,                0.02925,                 2.7699,                 1.9176,                 1.8427,             0.00042501,             0.00042501,             0.00042501
                     30,                 2.8744,                 1.9636,                 1.8737,                0.29471,                0.06289,                0.06304,                0.02559,                 2.8444,                 2.0105,                 1.8171,             0.00041919,             0.00041919,             0.00041919
                     31,                 2.9235,                 2.0364,                 1.9193,                0.18618,                0.07146,                0.06082,                0.02301,                 2.9973,                 2.0373,                 1.8397,             0.00041336,             0.00041336,             0.00041336
                     32,                 2.9134,                 2.0047,                 1.9031,                0.31281,                 0.1034,                0.07994,                0.03464,                 2.8145,                 1.8842,                 1.7817,             0.00040754,             0.00040754,             0.00040754
                     33,                 2.9202,                 1.9442,                  1.865,                0.39741,                0.06765,                0.06521,                0.03009,                 2.7917,                 2.0207,                 1.8326,             0.00040172,             0.00040172,             0.00040172
                     34,                  2.842,                 1.9287,                 1.8632,                0.31837,                0.09043,                0.07167,                0.03214,                 2.7284,                  1.878,                 1.8123,              0.0003959,              0.0003959,              0.0003959
                     35,                 2.7955,                 1.9317,                  1.822,                0.31246,                0.09685,                0.08136,                0.03526,                 2.7381,                 1.7772,                 1.7374,             0.00039008,             0.00039008,             0.00039008
                     36,                  2.726,                 1.8754,                 1.7771,                0.30899,                0.07514,                 0.0708,                0.02587,                 2.7678,                 1.8518,                 1.7587,             0.00038426,             0.00038426,             0.00038426
                     37,                  2.724,                 1.8393,                 1.7693,                0.36505,                0.11483,                0.09197,                 0.0385,                 2.5258,                 1.6919,                 1.6719,             0.00037844,             0.00037844,             0.00037844
                     38,                  2.716,                 1.8614,                 1.7668,                0.21726,                0.11427,                0.09045,                0.03573,                 2.6496,                 1.8105,                 1.7089,             0.00037262,             0.00037262,             0.00037262
                     39,                 2.6569,                 1.8402,                 1.7472,                0.32643,                0.12282,                0.09742,                0.03864,                 2.5193,                 1.6386,                 1.6456,             0.00036679,             0.00036679,             0.00036679
                     40,                 2.7255,                  1.856,                 1.7423,                0.15336,                0.12651,                0.09715,                0.03574,                 2.6422,                 1.8174,                 1.6745,             0.00036097,             0.00036097,             0.00036097
                     41,                 2.6633,                 1.8081,                 1.7018,                0.35709,                0.13186,                0.10887,                0.04657,                 2.4135,                 1.6597,                 1.6232,             0.00035515,             0.00035515,             0.00035515
                     42,                 2.6356,                 1.7656,                 1.6886,                 0.3403,                0.12834,                 0.1085,                0.05008,                 2.4365,                 1.6484,                 1.5927,             0.00034933,             0.00034933,             0.00034933
                     43,                 2.5794,                 1.7363,                 1.6801,                0.24159,                0.12763,                0.10436,                0.04547,                 2.5059,                 1.6572,                 1.5926,             0.00034351,             0.00034351,             0.00034351
                     44,                 2.6318,                 1.7916,                 1.6689,                0.26298,                0.14329,                0.12098,                 0.0529,                 2.5126,                 1.6758,                 1.6129,             0.00033769,             0.00033769,             0.00033769
                     45,                 2.5322,                 1.7014,                 1.6268,                0.25103,                0.16293,                0.13127,                0.05524,                 2.3943,                 1.6172,                 1.5815,             0.00033187,             0.00033187,             0.00033187
                     46,                 2.5929,                 1.7566,                 1.6577,                0.25019,                0.15383,                0.12236,                0.04839,                 2.4121,                 1.6093,                 1.5421,             0.00032605,             0.00032605,             0.00032605
                     47,                 2.5453,                 1.7051,                 1.6134,                0.24698,                0.14412,                0.12836,                0.05096,                 2.3777,                 1.5971,                 1.5345,             0.00032022,             0.00032022,             0.00032022
                     48,                 2.5161,                  1.694,                 1.6213,                0.34403,                0.10546,                0.08685,                0.03801,                 2.8974,                 1.8372,                 1.7398,              0.0003144,              0.0003144,              0.0003144
                     49,                 2.5557,                  1.706,                  1.621,                0.37942,                0.15566,                0.14201,                0.06025,                 2.4734,                 1.5461,                 1.5637,             0.00030858,             0.00030858,             0.00030858
                     50,                 2.4682,                 1.6708,                 1.5947,                0.35331,                0.14938,                0.13989,                0.05492,                 2.4014,                 1.5829,                 1.5361,             0.00030276,             0.00030276,             0.00030276
                     51,                 2.5163,                 1.7427,                 1.6051,                0.25475,                0.14115,                0.13862,                0.06292,                 2.3018,                 1.6216,                 1.5007,             0.00029694,             0.00029694,             0.00029694
                     52,                 2.5055,                 1.6812,                 1.5718,                0.38026,                0.14728,                0.13607,                0.06353,                 2.3553,                 1.5389,                 1.4985,             0.00029112,             0.00029112,             0.00029112
                     53,                 2.4267,                 1.6589,                 1.5865,                0.24696,                0.13062,                0.09401,                 0.0371,                 2.6864,                 1.7775,                 1.6385,              0.0002853,              0.0002853,              0.0002853
                     54,                 2.4369,                 1.6298,                 1.5582,                0.14601,                0.16037,                0.12533,                0.04944,                 2.3205,                 1.5905,                 1.5015,             0.00027948,             0.00027948,             0.00027948
                     55,                 2.3771,                 1.6159,                 1.5513,                0.17254,                0.16611,                0.15279,                0.06787,                 2.2032,                 1.4768,                 1.4753,             0.00027366,             0.00027366,             0.00027366
                     56,                 2.4556,                 1.6992,                 1.5719,                0.27348,                0.16206,                0.16017,                0.07512,                 2.2133,                 1.5126,                 1.4842,             0.00026783,             0.00026783,             0.00026783
                     57,                 2.4191,                 1.6649,                 1.5607,                0.25257,                0.17841,                0.14846,                  0.068,                 2.2563,                 1.5462,                 1.5088,             0.00026201,             0.00026201,             0.00026201
                     58,                  2.351,                 1.6184,                 1.5254,                0.25137,                0.20189,                0.15608,                0.07657,                 2.1363,                 1.4553,                 1.4484,             0.00025619,             0.00025619,             0.00025619
                     59,                 2.3874,                 1.6217,                 1.5438,                0.23609,                0.18169,                0.13028,                0.05363,                 2.3246,                 1.5914,                 1.4973,             0.00025037,             0.00025037,             0.00025037
                     60,                 2.3905,                 1.6221,                 1.5269,                 0.2726,                0.21064,                0.16048,                0.07145,                 2.1549,                 1.4474,                 1.4327,             0.00024455,             0.00024455,             0.00024455
                     61,                 2.3101,                 1.6011,                 1.5057,                0.31536,                0.20226,                0.16655,                 0.0795,                 2.1145,                 1.4513,                  1.411,             0.00023873,             0.00023873,             0.00023873
                     62,                 2.3104,                 1.5516,                 1.5011,                 0.2544,                 0.1795,                0.15073,                0.07387,                 2.1579,                 1.5308,                 1.4404,             0.00023291,             0.00023291,             0.00023291
                     63,                 2.3122,                  1.585,                 1.5143,                0.29272,                0.19697,                0.16941,                0.08242,                 2.0985,                 1.3675,                 1.4087,             0.00022709,             0.00022709,             0.00022709
                     64,                 2.3117,                 1.5697,                 1.5031,                0.28611,                0.19691,                0.17692,                0.08202,                 2.1252,                 1.4148,                 1.4105,             0.00022126,             0.00022126,             0.00022126
                     65,                 2.2747,                 1.5325,                 1.4895,                0.28824,                0.20806,                0.17171,                0.08511,                 2.0871,                 1.4347,                 1.3925,             0.00021544,             0.00021544,             0.00021544
                     66,                 2.2674,                 1.5083,                 1.4631,                0.30742,                0.21001,                0.17842,                0.08706,                  2.054,                 1.4115,                 1.3913,             0.00020962,             0.00020962,             0.00020962
                     67,                 2.2647,                 1.5562,                  1.489,                0.27419,                0.22414,                0.15228,                0.06915,                 2.1176,                 1.4713,                 1.3903,              0.0002038,              0.0002038,              0.0002038
                     68,                 2.2527,                 1.5055,                 1.4582,                0.33407,                0.20078,                0.16483,                0.07766,                 2.0616,                 1.3682,                 1.3652,             0.00019798,             0.00019798,             0.00019798
                     69,                 2.2431,                 1.5087,                 1.4547,                0.31142,                0.21259,                0.18178,                0.09332,                 2.0071,                  1.374,                 1.3578,             0.00019216,             0.00019216,             0.00019216
                     70,                 2.2592,                 1.5377,                 1.4603,                0.25095,                0.19744,                0.16629,                0.07919,                 2.1244,                 1.5181,                 1.3927,             0.00018634,             0.00018634,             0.00018634
                     71,                 2.2163,                 1.4935,                 1.4505,                0.27389,                0.21831,                0.18432,                0.08871,                  2.044,                 1.3892,                  1.359,             0.00018052,             0.00018052,             0.00018052
                     72,                 2.2668,                 1.5159,                  1.455,                0.31622,                0.20646,                0.18953,                0.09403,                 2.0021,                 1.3428,                 1.3513,             0.00017469,             0.00017469,             0.00017469
                     73,                 2.1721,                 1.4824,                 1.4424,                0.33797,                0.21518,                0.20065,                0.09959,                  1.983,                 1.3274,                 1.3434,             0.00016887,             0.00016887,             0.00016887
                     74,                 2.1857,                 1.4887,                 1.4401,                0.31045,                0.23361,                0.18952,                0.09282,                 1.9949,                  1.358,                 1.3435,             0.00016305,             0.00016305,             0.00016305
                     75,                 2.2358,                 1.5004,                 1.4619,                0.28921,                0.23656,                0.18987,                0.09293,                 2.0281,                 1.3755,                 1.3526,             0.00015723,             0.00015723,             0.00015723
                     76,                 2.2002,                 1.4648,                 1.4334,                0.32322,                0.21689,                0.18654,                 0.0916,                 2.0054,                 1.3222,                 1.3436,             0.00015141,             0.00015141,             0.00015141
                     77,                 2.2275,                 1.4938,                 1.4387,                 0.2973,                0.21749,                0.18028,                0.08558,                 2.0136,                 1.3715,                 1.3466,             0.00014559,             0.00014559,             0.00014559
                     78,                 2.1752,                 1.4637,                 1.4323,                0.27816,                0.22118,                0.17633,                0.08292,                 2.0472,                 1.3936,                 1.3617,             0.00013977,             0.00013977,             0.00013977
                     79,                  2.144,                 1.4269,                 1.4141,                0.31861,                0.22287,                0.19452,                0.09515,                 1.9613,                 1.3755,                 1.3341,             0.00013395,             0.00013395,             0.00013395
                     80,                 2.1276,                  1.426,                  1.403,                0.30797,                0.23416,                0.19204,                0.09553,                 2.0174,                 1.3775,                 1.3508,             0.00012813,             0.00012813,             0.00012813
                     81,                 2.1246,                 1.4158,                 1.4158,                0.33086,                0.23283,                0.21706,                0.10675,                 1.9578,                 1.3314,                 1.3294,              0.0001223,              0.0001223,              0.0001223
                     82,                 2.1512,                 1.4328,                 1.3956,                0.36663,                0.22486,                0.20016,                0.09867,                 1.9139,                  1.327,                 1.3166,             0.00011648,             0.00011648,             0.00011648
                     83,                 2.1856,                 1.4496,                 1.4259,                0.30951,                0.24438,                0.19086,                0.09337,                  1.925,                 1.3518,                 1.3143,             0.00011066,             0.00011066,             0.00011066
                     84,                 2.1365,                 1.4289,                 1.4014,                0.33195,                0.22281,                0.19647,                0.09607,                 1.9962,                 1.3528,                 1.3377,             0.00010484,             0.00010484,             0.00010484
                     85,                 2.1231,                 1.4397,                 1.4083,                0.34244,                0.21292,                0.20301,                0.09949,                 2.0046,                  1.316,                 1.3361,             9.9019e-05,             9.9019e-05,             9.9019e-05
                     86,                 2.1178,                 1.4248,                 1.4236,                0.32436,                0.22964,                 0.2017,                0.09929,                 1.9378,                 1.3132,                 1.3181,             9.3198e-05,             9.3198e-05,             9.3198e-05
                     87,                 2.1305,                 1.4361,                 1.4093,                0.30643,                0.23775,                0.20219,                0.09844,                 1.9429,                 1.3481,                 1.3173,             8.7377e-05,             8.7377e-05,             8.7377e-05
                     88,                 2.0925,                  1.407,                  1.406,                0.31129,                0.22676,                0.20638,                0.10295,                 1.9352,                 1.3389,                 1.3232,             8.1556e-05,             8.1556e-05,             8.1556e-05
                     89,                 2.0728,                 1.3942,                 1.3835,                0.33716,                0.23028,                 0.2152,                 0.1083,                 1.8971,                 1.2946,                 1.3136,             7.5734e-05,             7.5734e-05,             7.5734e-05
                     90,                 2.2798,                 1.9232,                  1.381,                0.34778,                0.22527,                0.21547,                0.10753,                 1.9144,                  1.318,                  1.305,             6.9913e-05,             6.9913e-05,             6.9913e-05
                     91,                 2.2525,                 1.7784,                 1.3786,                0.29571,                0.22967,                0.18931,                0.09113,                 2.0332,                 1.4871,                 1.3238,             6.4092e-05,             6.4092e-05,             6.4092e-05
                     92,                 2.2347,                 1.6937,                 1.3679,                0.20318,                 0.2337,                0.19701,                0.09532,                 1.9928,                 1.4928,                 1.3073,             5.8271e-05,             5.8271e-05,             5.8271e-05
                     93,                 2.1975,                 1.6498,                 1.3624,                0.23107,                0.25741,                0.20785,                0.10018,                 1.9682,                 1.4118,                 1.2968,              5.245e-05,              5.245e-05,              5.245e-05
                     94,                 2.1652,                 1.6289,                 1.3469,                0.22525,                0.25515,                0.21085,                0.10361,                 1.9596,                 1.4182,                 1.2957,             4.6628e-05,             4.6628e-05,             4.6628e-05
                     95,                 2.2126,                 1.6511,                 1.3605,                0.21333,                0.25156,                0.20111,                0.10185,                 1.9877,                 1.5101,                 1.3101,             4.0807e-05,             4.0807e-05,             4.0807e-05
                     96,                 2.1831,                 1.6599,                 1.3624,                0.19006,                0.24867,                0.20112,                0.10304,                 1.9997,                 1.4726,                 1.3117,             3.4986e-05,             3.4986e-05,             3.4986e-05
                     97,                 2.1611,                  1.605,                 1.3464,                0.21853,                0.25073,                0.21165,                0.10893,                 1.9888,                  1.427,                 1.3111,             2.9165e-05,             2.9165e-05,             2.9165e-05
                     98,                 2.1522,                 1.5844,                 1.3473,                0.22488,                0.25897,                0.21327,                0.10949,                 1.9874,                 1.3986,                 1.3061,             2.3344e-05,             2.3344e-05,             2.3344e-05
                     99,                 2.2049,                 1.6345,                 1.3516,                0.22542,                 0.2662,                0.21554,                 0.1124,                 1.9697,                 1.4212,                 1.3025,             1.7522e-05,             1.7522e-05,             1.7522e-05
